Year,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
UrbanPopulation,19477364,20134757,20800243,21474148,22163653,22870388,23598140,24348000,25120981,25920396,26757120,27621281,28514086,29430443,30371288,31333193,32314724,33310316,34317154,35332140
RuralPopulation,60433048,60607742,60734164,60827508,60899168,60962273,61019400,61071591,61122432,61171856,61210531,61250280,61288401,61323029,61343307,61343883,61324000,61286326,61223241,61129966
